,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
890,890,890,2021年10月07日13时56分40秒,68.22132110595703,1700.69775390625,-9999,-9999,1.3939894437789917,59.7869987487793,1.0374832153320312,86.08152770996094,83.58428192138672,15.366936683654783,15.194791793823242,0.6869874000549316,0.1713796108961105,115.90158081054688,123.6871109008789,285.126708984375,36.57730484008789,19.97796440124512,19.09658432006836,20.565553665161133,22.475210189819336,-75.69102478027344,0.0,-9999,-9999,-9999
891,891,891,2021年10月07日13时57分00秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3939894437789917,59.7869987487793,0.9877341389656068,86.08152770996094,83.43738555908203,15.558207511901855,15.137411117553713,0.6869874000549316,0.1713796108961105,115.6077880859375,123.6871109008789,289.6805114746094,37.16489028930664,19.97796440124512,18.949687957763672,20.71245002746582,22.475210189819336,-75.49516296386719,0.0,-9999,-9999,-9999
892,892,892,2021年10月07日13时57分20秒,68.2702865600586,1700.69775390625,-9999,-9999,1.3939894437789917,59.7869987487793,0.959921658039093,85.78773498535156,83.58428192138672,15.386063575744627,15.366936683654783,0.6850287914276123,0.1713796108961105,115.6077880859375,123.6871109008789,294.3811950683594,37.16489028930664,19.97796440124512,19.09658432006836,20.565553665161133,22.475210189819336,-75.53433990478516,0.0,-9999,-9999,-9999
893,893,893,2021年10月07日13时57分40秒,68.22132110595703,1702.9012451171875,-9999,-9999,1.3927652835845947,59.7869987487793,1.0092790126800537,86.08152770996094,83.43738555908203,15.099154472351074,15.481698989868164,0.6845391392707825,0.1713796108961105,115.6077880859375,123.6871109008789,299.8163757324219,37.311790466308594,19.97796440124512,19.09658432006836,20.565553665161133,22.18141746520996,-75.59309387207031,0.0,-9999,-9999,-9999
894,894,894,2021年10月07日13时58分00秒,68.19683837890625,1694.8218994140625,-9999,-9999,1.3927652835845947,59.7869987487793,1.0331742763519287,86.08152770996094,83.58428192138672,15.424318313598633,15.08002758026123,0.6845391392707825,0.1713796108961105,115.31399536132812,123.6871109008789,305.0312194824219,37.311790466308594,19.684171676635746,18.949687957763672,20.565553665161133,22.475210189819336,-75.55392456054688,0.0,-9999,-9999,-9999
895,895,895,2021年10月07日13时58分20秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3939894437789917,59.7869987487793,0.9943934679031372,85.78773498535156,83.58428192138672,15.290428161621094,15.271300315856934,0.6845391392707825,0.1713796108961105,115.90158081054688,123.6871109008789,310.02569580078125,37.6055793762207,20.12486267089844,19.09658432006836,20.565553665161133,22.475210189819336,-75.49516296386719,0.0,-9999,-9999,-9999
896,896,896,2021年10月07日13时58分40秒,68.2702865600586,1702.1666259765625,-9999,-9999,1.3939894437789917,59.64010238647461,0.976374089717865,86.08152770996094,83.43738555908203,15.424318313598633,15.175663948059082,0.6845391392707825,0.1713796108961105,115.90158081054688,123.6871109008789,314.4326171875,37.6055793762207,19.97796440124512,19.09658432006836,20.71245002746582,22.18141746520996,-75.65185546875,0.0,-9999,-9999,-9999
897,897,897,2021年10月07日13时59分00秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3927652835845947,59.64010238647461,0.9810748100280762,86.08152770996094,83.8780746459961,15.271300315856934,15.290428161621094,0.6825804710388184,0.1713796108961105,115.90158081054688,123.6871109008789,317.81121826171875,37.899375915527344,20.12486267089844,19.09658432006836,20.71245002746582,22.18141746520996,-75.65185546875,0.0,-9999,-9999,-9999
898,898,898,2021年10月07日13时59分20秒,68.22132110595703,1698.494384765625,-9999,-9999,1.3939894437789917,59.7869987487793,0.9896928071975708,86.08152770996094,83.58428192138672,15.099154472351074,15.424318313598633,0.6850287914276123,0.1713796108961105,115.31399536132812,123.6871109008789,320.6022644042969,37.899375915527344,19.97796440124512,19.09658432006836,20.27175712585449,22.18141746520996,-75.53433990478516,0.0,-9999,-9999,-9999
899,899,899,2021年10月07日13时59分40秒,68.22132110595703,1699.228759765625,-9999,-9999,1.3927652835845947,59.7869987487793,1.005361795425415,86.08152770996094,83.8780746459961,15.137411117553713,15.290428161621094,0.6845391392707825,0.1713796108961105,115.6077880859375,123.54021453857422,322.2181396484375,38.04627227783203,19.97796440124512,19.09658432006836,20.565553665161133,22.18141746520996,-75.59309387207031,0.0,-9999,-9999,-9999
900,900,900,2021年10月07日14时00分00秒,68.22132110595703,1698.494384765625,-9999,-9999,1.3927652835845947,59.7869987487793,1.0139797925949097,86.08152770996094,83.58428192138672,15.08002758026123,15.366936683654783,0.6869874000549316,0.1713796108961105,115.6077880859375,123.6871109008789,323.54022216796875,38.04627227783203,20.12486267089844,19.09658432006836,20.27175712585449,22.03452110290528,-75.55392456054688,0.0,-9999,-9999,-9999
901,901,901,2021年10月07日14时00分20秒,68.22132110595703,1694.8218994140625,-9999,-9999,1.3927652835845947,59.7869987487793,1.024948000907898,85.78773498535156,83.8780746459961,15.04177474975586,15.290428161621094,0.6825804710388184,0.1713796108961105,115.6077880859375,123.54021453857422,323.9809265136719,38.04627227783203,19.97796440124512,19.09658432006836,20.565553665161133,22.475210189819336,-75.45599365234375,0.0,-9999,-9999,-9999
902,902,902,2021年10月07日14时00分40秒,68.22132110595703,1699.228759765625,-9999,-9999,1.3927652835845947,59.7869987487793,1.0284734964370728,85.78773498535156,83.58428192138672,14.984393119812012,15.32868194580078,0.6845391392707825,0.1615864783525467,115.90158081054688,122.07125091552734,323.6871337890625,37.899375915527344,20.12486267089844,19.09658432006836,20.565553665161133,22.18141746520996,-75.55392456054688,0.0,-9999,-9999,-9999
903,903,903,2021年10月07日14时01分00秒,68.22132110595703,1702.9012451171875,-9999,-9999,1.3939894437789917,59.64010238647461,1.021814227104187,86.08152770996094,83.58428192138672,15.32868194580078,14.946137428283691,0.6811115145683289,0.1615864783525467,116.04846954345705,120.7491683959961,323.2464294433594,37.899375915527344,19.684171676635746,19.09658432006836,20.71245002746582,22.03452110290528,-75.55392456054688,0.0,-9999,-9999,-9999
904,904,904,2021年10月07日14时01分20秒,68.22132110595703,1702.1666259765625,-9999,-9999,1.3927652835845947,59.7869987487793,0.9943934679031372,86.08152770996094,83.43738555908203,15.32868194580078,15.003520011901855,0.6811115145683289,0.1615864783525467,116.34226989746094,120.6022720336914,322.0712585449219,38.34006881713867,19.97796440124512,19.09658432006836,20.565553665161133,22.18141746520996,-75.55392456054688,0.0,-9999,-9999,-9999
905,905,905,2021年10月07日14时01分40秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3939894437789917,59.64010238647461,0.9802913665771484,86.08152770996094,83.8780746459961,15.424318313598633,14.984393119812012,0.6811115145683289,0.1615864783525467,117.07675170898438,120.7491683959961,320.3084716796875,38.63385772705078,20.12486267089844,19.09658432006836,20.565553665161133,22.03452110290528,-75.43640899658203,0.0,-9999,-9999,-9999
