,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
376,2021年11月26日09时05分20秒,72.040641784668,912.963623046875,13.6303405761719,686.813293457031,0.916880905628204,18.9496879577637,0.555857539176941,25.5600433349609,24.0910758972168,16.2659149169922,15.8833703994751,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.0172605514526,8.07932472229004,9.54829216003418,7.05104637145996,12.9269189834595,8.52001476287842,-79.9926528930664,0.009181000292301,2.24507284164429,8.00342559814453,14.4056797027588
377,2021年11月26日09时05分40秒,72.040641784668,920.308471679688,13.762354850769,686.889343261719,0.915656745433807,19.3903770446777,0.552331984043121,25.5600433349609,24.2379722595215,15.9407520294189,15.9407520294189,0.000184000004083,0.000184000004083,8.22622108459473,9.25449943542481,11.1641578674316,7.78553056716919,9.25449943542481,7.05104637145996,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.24262452125549,8.15522003173828,14.4056797027588
378,2021年11月26日09时06分00秒,72.0896072387695,924.715454101563,13.8723649978638,686.973693847656,0.914432644844055,19.8310680389404,0.546456098556519,25.7069416046143,24.2379722595215,15.8451156616211,16.1894054412842,0.000184000004083,0.000184000004083,8.22622108459473,9.10760116577148,11.0172605514526,7.78553056716919,9.25449943542481,7.05104637145996,12.6331253051758,8.52001476287842,-79.9926528930664,0.009181000292301,2.24262452125549,8.00342559814453,14.4056797027588
379,2021年11月26日09时06分20秒,72.040641784668,937.20166015625,14.0153789520264,687.051147460938,0.914432644844055,20.1248626708984,0.556249260902405,26.0007343292236,24.5317668914795,16.0363883972168,15.9790058135986,0.000184000004083,0.000184000004083,8.07932472229004,9.10760116577148,11.1641578674316,7.78553056716919,9.25449943542481,7.05104637145996,12.9269189834595,8.22622108459473,-79.9926528930664,0.009181000292301,2.24507284164429,8.00342559814453,14.4056797027588
380,2021年11月26日09时06分40秒,72.040641784668,940.8740234375,14.070384979248,687.121459960938,0.913820564746857,20.1248626708984,0.558207869529724,26.2945289611816,24.8255615234375,15.9981327056885,15.9981327056885,0.000184000004083,0.000184000004083,7.78553056716919,9.25449943542481,11.0172605514526,7.78553056716919,9.54829216003418,6.75725269317627,13.2207117080688,8.22622108459473,-79.9926528930664,0.009181000292301,2.24507284164429,8.00342559814453,14.4056797027588
381,2021年11月26日09时07分00秒,72.040641784668,948.218933105469,14.2243995666504,687.207946777344,0.912596464157104,20.7124500274658,0.534704387187958,26.7352180480957,24.8255615234375,16.0746421813965,16.132022857666,0.000184000004083,0.000184000004083,8.07932472229004,9.25449943542481,11.0172605514526,7.78553056716919,9.25449943542481,7.05104637145996,12.6331253051758,8.52001476287842,-79.9926528930664,0.009181000292301,2.24507284164429,8.30701446533203,14.4056797027588
382,2021年11月26日09时07分20秒,72.040641784668,959.236145019531,14.367413520813,687.287536621094,0.911372244358063,20.7124500274658,0.522169172763824,27.0290107727051,25.2662506103516,16.2659149169922,16.0746421813965,0.000184000004083,0.000184000004083,8.22622108459473,9.25449943542481,11.1641578674316,7.78553056716919,9.25449943542481,7.05104637145996,12.9269189834595,8.52001476287842,-79.9926528930664,0.009181000292301,2.24507284164429,8.15522003173828,14.4056797027588
383,2021年11月26日09时07分40秒,72.040641784668,962.908569335938,14.4114179611206,687.359497070313,0.910760164260864,20.8593463897705,0.513551235198975,27.1759090423584,25.5600433349609,16.1894054412842,16.0363883972168,0.000184000004083,0.000184000004083,7.78553056716919,9.10760116577148,11.1641578674316,7.78553056716919,9.84208583831787,7.05104637145996,13.2207117080688,8.52001476287842,-79.9926528930664,0.009181000292301,2.24752116203308,8.15522003173828,14.4056797027588
384,2021年11月26日09时08分00秒,71.9916763305664,970.25341796875,14.5544328689575,687.440002441406,0.909536004066467,21.1531410217285,0.49709877371788,27.7634963989258,25.2662506103516,16.0937690734863,16.2276592254639,0.000184000004083,0.000184000004083,8.07932472229004,9.25449943542481,11.0172605514526,8.07932472229004,9.84208583831787,7.05104637145996,13.2207117080688,8.52001476287842,-79.9926528930664,0.009181000292301,2.24752116203308,8.38291168212891,14.4056797027588
385,2021年11月26日09时08分20秒,71.9916763305664,981.270690917969,14.7194490432739,687.521240234375,0.907699823379517,21.5938301086426,0.490831196308136,27.9103927612305,25.7069416046143,16.2276592254639,16.1894054412842,0.000184000004083,0.000184000004083,8.22622108459473,9.25449943542481,11.0172605514526,8.07932472229004,9.25449943542481,7.05104637145996,12.9269189834595,8.52001476287842,-79.9926528930664,0.009181000292301,2.24874520301819,8.30701446533203,14.4056797027588
