,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_nn,polar_lh,polar_wtt,polar_shg,dTout_WL,V_static,V_dynamic
1265,1265,1265,1265,1265,1265,2021年10月01日17时31分40秒,5.361733436584473,3.672420263290405,-9999,-9999,0.204425,57.87734222412109,0.2988860309123993,74.03599548339844,73.30150604248047,15.424318313598633,16.265914916992188,0.5968906879425049,0.1704002916812896,118.83951568603516,86.8160171508789,31.58281135559082,25.26625061035156,32.02350234985352,24.8255615234375,309.4381103515625,72.27322387695312,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.1576980422524845,3.672420263290405,8.640988854800952,0.2988860309123993,57.87734222412109,73.30150604248047,74.03599548339844,73.66875076293945,0.0,0.204425,3.672420263290405,8.640988854800952,-0.0093610707451315,-0.2937889099121094,0.5968906879425049,0.1704002916812896,1.213261086989926,1.2396926929183787,1.1393589889798077,1.2157830884958134,-0.2131855920619472,1.2133246886567888,-1.0556266464043043
1266,1266,1266,1266,1266,1266,2021年10月01日17时32分00秒,5.116905212402344,2.203452110290528,-9999,-9999,0.204425,57.58354949951172,0.2988860309123993,73.74219512939453,73.30150604248047,15.424318313598633,16.227659225463867,0.5376423001289368,0.1801934093236923,118.1050262451172,85.78773498535156,31.58281135559082,25.119354248046875,32.31729888916016,24.8255615234375,307.5284729003906,71.8325424194336,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.1504972121294807,2.203452110290528,5.184593200683595,0.2988860309123993,57.58354949951172,73.30150604248047,73.74219512939453,73.5218505859375,0.0,0.204425,-1.468968152999877,-3.4563956541173577,-0.0072008301230037,-0.1469001770019531,0.5376423001289368,0.1801934093236923,1.213451892073535,1.2274115700966683,1.1000573018468705,1.213281724113212,-0.0750539970215697,1.213515495475499,-1.0630182833460182
1267,1267,1267,1267,1267,1267,2021年10月01日17时32分20秒,4.9944915771484375,3.672420263290405,-9999,-9999,1.86956787109375,57.14285659790039,0.2973191440105438,73.44840240478516,73.30150604248047,15.099154472351074,15.768607139587402,0.0001836209994507,0.0001836209994507,117.37054443359376,85.34703826904297,31.58281135559082,25.119354248046875,32.46419143676758,24.8255615234375,305.471923828125,71.09805297851562,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.1468968110926011,3.672420263290405,8.640988854800952,0.2973191440105438,57.14285659790039,73.30150604248047,73.44840240478516,73.37495422363281,1.86956787109375,1.86956787109375,1.468968152999877,3.4563956541173577,-0.0036004010368795,-0.1468963623046875,0.0001836209994507,0.0001836209994507,1.2137063141104862,1.2398681036164854,1.140429401992365,1.2781475817114183,-0.0784327881614217,1.2138017264158745,-1.0669049153232733
1268,1268,1268,1268,1268,1268,2021年10月01日17时32分40秒,51.0833625793457,174.07272338867188,-9999,-9999,1.870792031288147,55.23319625854492,0.2969274222850799,73.30150604248047,73.0077133178711,15.08002758026123,15.74948024749756,0.0001836209994507,0.0001836209994507,116.782958984375,84.31876373291016,31.58281135559082,25.26625061035156,32.31729888916016,24.972455978393555,303.562255859375,70.36357116699219,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,1.5024518405689913,174.07272338867188,409.5828785615809,0.2969274222850799,55.23319625854492,73.0077133178711,73.30150604248047,73.15460968017578,1.870792031288147,1.870792031288147,170.40030312538147,400.94188970677993,1.35555502947639,-0.2203445434570312,0.0001836209994507,0.0001836209994507,1.6142123998985851,1.5848071262097916,1.5495017696300009,1.604350286762252,-0.2279893425757961,1.6123752815010208,-0.10992344093202955
1269,1269,1269,1269,1269,1269,2021年10月01日17时33分00秒,60.509239196777344,580.9768676757812,-9999,-9999,1.8689558506011963,53.470436096191406,0.3192557394504547,72.71392059326172,72.27322387695312,15.711226463317873,16.265914916992188,0.0001836209994507,0.0001836209994507,115.90158081054688,83.58428192138672,31.43591690063477,25.26625061035156,32.31729888916016,24.972455978393555,301.7994689941406,69.77598571777344,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,1.7796835057875688,580.9768676757812,1367.00439453125,0.3192557394504547,53.470436096191406,72.27322387695312,72.71392059326172,72.49357223510742,1.8689558506011963,1.8689558506011963,406.9041442871094,957.4215159696691,0.2772316652185775,-0.6610374450683594,0.0001836209994507,0.0001836209994507,1.7907490730285645,1.782092615255291,1.7477912071833483,1.784020996847579,-0.4372188178055154,1.7907253503799438,-0.011041844592375005
1270,1270,1270,1270,1270,1270,2021年10月01日17时33分20秒,64.94062805175781,997.4293212890624,-9999,-9999,1.6926796436309814,53.17664337158203,0.3834986090660095,72.71392059326172,72.86080932617188,16.610204696655273,16.265914916992188,0.0001836209994507,0.0001836209994507,115.6077880859375,82.7029037475586,31.58281135559082,25.26625061035156,32.31729888916016,24.8255615234375,299.9632568359375,69.04149627685547,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,1.910018472110524,997.4293212890624,2346.892520680147,0.3834986090660095,53.17664337158203,72.86080932617188,72.71392059326172,72.7873649597168,1.6926796436309814,1.6926796436309814,416.45245361328114,979.8881261488968,0.1303349663229551,0.293792724609375,0.0001836209994507,0.0001836209994507,1.9254013299942017,1.8949898731526749,1.8752627031555027,1.899168014055231,0.2546670388750556,1.9251558780670166,-0.0151374059564926
1271,1271,1271,1271,1271,1271,2021年10月01日17时33分40秒,66.80132293701172,1212.6331787109375,-9999,-9999,1.2605582475662231,54.20492172241211,0.4696780741214752,73.0077133178711,72.86080932617188,16.801475524902344,16.227659225463867,0.0001836209994507,0.0001836209994507,114.57950592041016,82.11531066894531,31.58281135559082,25.26625061035156,32.46419143676758,24.8255615234375,298.0536193847656,68.30701446533203,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,1.9647447922650505,1212.6331787109375,2853.2545381433824,0.4696780741214752,54.20492172241211,72.86080932617188,73.0077133178711,72.93426132202148,1.2605582475662231,1.2605582475662231,215.2038574218751,506.3620174632356,0.0547263201545265,0.1468963623046875,0.0001836209994507,0.0001836209994507,1.957542300224304,1.94190344725765,1.932331542636924,1.9450555618469247,0.0475541989306407,1.9576408863067627,0.007103905958287804
1272,1272,1272,1272,1272,1272,2021年10月01日17时34分00秒,68.39270782470703,1411.67822265625,-9999,-9999,1.2623944282531738,54.93940734863281,0.5629085898399353,73.30150604248047,72.86080932617188,16.571949005126953,16.265914916992188,0.0001836209994507,0.0001836209994507,114.43260955810548,81.38082885742188,31.58281135559082,25.560043334960938,32.31729888916016,24.8255615234375,296.2908630371094,67.86632537841797,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0115502301384423,1411.67822265625,3321.595818014706,0.5629085898399353,54.93940734863281,72.86080932617188,73.30150604248047,73.08115768432617,1.2623944282531738,1.2623944282531738,199.0450439453125,468.34127987132354,0.0468054378733917,0.1468963623046875,0.0001836209994507,0.0001836209994507,2.0027284622192383,1.981264891494031,1.98202986618587,1.992173044179529,0.0840821917887808,2.0020275115966797,0.009522718541762565
1273,1273,1273,1273,1273,1273,2021年10月01日17时34分20秒,68.955810546875,1501.2852783203125,-9999,-9999,1.2623944282531738,56.11457824707031,0.662014901638031,73.30150604248047,72.12632751464844,16.227659225463867,16.361549377441406,0.0001836209994507,0.0001836209994507,113.84502410888672,80.64634704589844,31.58281135559082,25.119354248046875,32.46419143676758,24.8255615234375,294.8218994140625,67.4256362915039,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.0281120749080883,1501.2852783203125,3532.4359489889707,0.662014901638031,56.11457824707031,72.12632751464844,73.30150604248047,72.71391677856445,1.2623944282531738,1.2623944282531738,89.6070556640625,210.84013097426472,0.016561844769646,-0.3672409057617187,0.0001836209994507,0.0001836209994507,2.012568950653076,1.998803939779292,2.0055400261202854,2.012440755350334,-0.2285708856355057,2.012568950653076,0.015543124255012142
1274,1274,1274,1274,1274,1274,2021年10月01日17时34分40秒,68.75994873046875,1503.4888916015625,-9999,-9999,1.2623944282531738,56.849063873291016,0.7744399905204773,73.30150604248047,72.12632751464844,15.940752029418944,16.132022857666016,0.0001836209994507,0.0001836209994507,113.40433502197266,79.91185760498047,31.43591690063477,25.119354248046875,32.02350234985352,24.8255615234375,293.2060241699219,66.83804321289062,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,2.022351433249081,1503.4888916015625,3537.620921415441,0.7744399905204773,56.849063873291016,72.12632751464844,73.30150604248047,72.71391677856445,1.2623944282531738,1.2623944282531738,2.20361328125,5.184972426470589,-0.0057606416590072,0.0,0.0001836209994507,0.0001836209994507,2.0110676288604736,1.9992143681019323,2.006074980549278,2.011458196602588,0.0364468572310983,2.0114870071411133,0.010864426107967784
