,Unnamed: 0,Time,V,I,H2-production,H2-production-accumulated,Qlye,Tlye,PreSys  ,TO2,TH2,LevelO2,LevelH2,O2inH2,H2inO2,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,DwePoint,微氧量,出罐压力,进罐温度,进罐压力,OriTemp,Power,HeatLyeIn,HeatLyeOut
391,402,2021年10月14日11时44分00秒,66.92373657226562,1497.695719586737,-9999,-9999,1.249234914779663,61.402862548828125,1.0026196241378784,80.35255432128906,78.14910125732422,15.80686092376709,16.036388397216797,0.7751255035400391,0.1811727285385131,117.66434478759766,114.13882446289062,17.921409606933594,21.15314102172852,17.186925888061523,17.921409606933594,329.2691955566406,35.25523376464844,-75.45599365234375,0.0,-9999,-9999,-9999,79.24091593808936,100144.72735559242,76.52446008982392,99.00589127061087
392,403,2021年10月14日11时44分20秒,66.87477111816406,1497.5672985625342,-9999,-9999,1.248010754585266,61.402862548828125,1.0167217254638672,80.35255432128906,78.00220489501953,15.74948024749756,16.132022857666016,0.7785530686378479,0.1811727285385131,117.37054443359376,114.43260955810548,18.06830596923828,21.15314102172852,17.4807186126709,17.921409606933594,328.5346984863281,35.25523376464844,-75.55392456054688,0.0,-9999,-9999,-9999,79.28268426829882,100121.9710333337,76.57466281831435,99.05493869311098
393,404,2021年10月14日11时44分40秒,66.8258056640625,1497.449472374416,-9999,-9999,1.248010754585266,61.109073638916016,1.0316073894500732,80.05876159667969,78.00220489501953,15.845115661621094,16.093769073486328,0.770228922367096,0.1811727285385131,117.66434478759766,114.57950592041016,17.921409606933594,21.15314102172852,17.186925888061523,17.921409606933594,326.7719421386719,35.54902648925781,-75.49516296386719,0.0,-9999,-9999,-9999,79.32037472087576,100100.38050973724,76.62413559432363,99.10309382693148
394,405,2021年10月14日11时45分00秒,66.87477111816406,1497.3365856307469,-9999,-9999,1.249234914779663,61.109073638916016,1.0171135663986206,80.05876159667969,78.14910125732422,16.170278549194336,15.80686092376709,0.7775737643241882,0.1811727285385131,118.1050262451172,114.87329864501952,17.921409606933594,20.859346389770508,17.4807186126709,17.921409606933594,325.15606689453125,35.6959228515625,-75.43640899658203,0.0,-9999,-9999,-9999,79.35851770226029,100079.44859244346,76.67293979994828,99.15057077317981
395,406,2021年10月14日11时45分20秒,66.87477111816406,1497.234049609431,-9999,-9999,1.248010754585266,61.402862548828125,0.981858253479004,80.05876159667969,78.00220489501953,16.132022857666016,15.979005813598633,0.7775737643241882,0.1811727285385131,118.1050262451172,115.16709899902344,18.06830596923828,21.300037384033203,17.4807186126709,17.921409606933594,322.36505126953125,35.6959228515625,-75.3384780883789,0.0,-9999,-9999,-9999,79.39531107694249,100059.67270310697,76.72081280760536,99.19725523379658
396,407,2021年10月14日11时45分40秒,66.92373657226562,1497.1440157650682,-9999,-9999,1.248010754585266,61.109073638916016,0.96775621175766,80.35255432128906,78.00220489501953,16.28504180908203,15.883370399475098,0.7785530686378479,0.1801934093236923,118.39881896972656,115.31399536132812,18.06830596923828,21.15314102172852,17.186925888061523,17.921409606933594,319.72088623046875,35.989715576171875,-75.45599365234375,0.0,-9999,-9999,-9999,79.4323981740234,100041.24501065709,76.76759640292919,99.24316355324882
397,408,2021年10月14日11时46分00秒,66.8258056640625,1497.066187692046,-9999,-9999,1.248010754585266,61.109073638916016,1.0026196241378784,80.05876159667969,78.14910125732422,15.711226463317873,16.38067626953125,0.7770841121673584,0.1811727285385131,118.1050262451172,115.90158081054688,18.06830596923828,21.15314102172852,17.186925888061523,17.921409606933594,316.7829895019531,35.989715576171875,-75.35806274414062,0.0,-9999,-9999,-9999,79.47716723241558,100024.10409252206,76.8132498936265,99.28849441781595
398,409,2021年10月14日11时46分20秒,66.92373657226562,1497.0026264930366,-9999,-9999,1.248010754585266,61.109073638916016,1.0363080501556396,80.35255432128906,78.14910125732422,16.28504180908203,15.74948024749756,0.7795323729515076,0.1811727285385131,118.39881896972656,116.04846954345705,18.06830596923828,21.15314102172852,17.4807186126709,17.921409606933594,314.2857360839844,36.28351211547852,-75.55392456054688,0.0,-9999,-9999,-9999,79.52848471832584,100008.41899748026,76.85764598542524,99.33331513316476
399,410,2021年10月14日11时46分40秒,66.87477111816406,1496.950612097727,-9999,-9999,1.249234914779663,60.815277099609375,0.9685396552085876,80.35255432128906,78.4428939819336,16.227659225463867,15.940752029418944,0.7785530686378479,0.1801934093236923,118.54572296142578,116.34226989746094,18.06830596923828,21.300037384033203,17.186925888061523,17.921409606933594,311.6415710449219,36.28351211547852,-75.45599365234375,0.0,-9999,-9999,-9999,79.57089812537889,99993.95864033278,76.90075822304067,99.37771008580425
400,411,2021年10月14日11时47分00秒,66.87477111816406,1496.909980277734,-9999,-9999,1.248010754585266,61.109073638916016,0.9830334782600404,80.35255432128906,78.14910125732422,15.74948024749756,16.361549377441406,0.7800220251083374,0.1811727285385131,119.13330841064452,116.63606262207033,18.06830596923828,21.300037384033203,17.186925888061523,18.21520233154297,308.70361328125,36.43040466308594,-75.49516296386719,0.0,-9999,-9999,-9999,79.60888968378102,99980.72575184687,76.94249384941126,99.42167559649229
